Key,Type,Desc,English,French,Russian,German,Korean,Chinese,Indonesian,Italian,Japanese,Persian,Romanian,Thai,Spanish,Turkish,Vietnamese,Polish,Arabic,Czech,Portuguese (Brazil)
Challenges/312chn,Text,,build scout tower,[i2auto]construire la tour scout,[i2auto]построить башню разведчик,[i2auto]bauen scout Turm,[i2auto]스카우트 타워를 구축,[i2auto]建立侦察员塔,[i2auto]membangun menara pengintai,[i2auto]costruire la torre esploratore,[i2auto]スカウトの塔を構築します,[i2auto]برج دیده بانی ساخت,[i2auto]construi turnul Scout,[i2auto]สร้างหอลูกเสือ,[i2auto]construir la torre ojeador,[i2auto]izci kule inşa,[i2auto]xây dựng tháp trinh sát,[i2auto]zbudować wieżę zwiadowczy,[i2auto]بناء برج الكشفية,[i2auto]postavit věž skaut,[i2auto]construir torre olheiro
Challenges/312chd,Text,,scout tower improves the field of view and enables upgrades,[i2auto]tour scout améliore le champ de vision et permet des mises à niveau,[i2auto]"""разведчик башни, улучшает поле зрения и позволяет обновлять""",[i2auto]scout Turm verbessert das Sichtfeld und ermöglicht Upgrades,[i2auto]정찰 타워 시야를 개선하고 업그레이드를 가능하게,[i2auto]侦察塔改善视场，使升级,[i2auto]menara pramuka meningkatkan bidang pandang dan memungkinkan upgrade,[i2auto]Torre esploratore migliora il campo visivo e consente aggiornamenti,[i2auto]スカウトの塔は、視野を改善し、アップグレードを可能にします,[i2auto]برج دیده بانی را بهبود می بخشد میدان دید و قادر می سازد ارتقاء,[i2auto]turn Scout îmbunătățește câmpul vizual și permite upgrade-uri,[i2auto]หอลูกเสือช่วยเพิ่มมุมมองและช่วยให้การอัพเกรด,[i2auto]torre explorador mejora el campo de visión y permite actualizaciones,[i2auto]izci kule görüş alanını artırır ve yükseltmeleri sağlar,[i2auto]tháp trinh sát cải thiện các lĩnh vực xem và cho phép nâng cấp,[i2auto]Zwiadowca wieża zwiększa pole widzenia i pozwala na aktualizacje,[i2auto]برج الكشفية يحسن مجال الرؤية وتمكن ترقيات,[i2auto]Scout věž zlepšuje zorné pole a umožňuje upgrady,[i2auto]torre olheiro melhora o campo de visão e permite atualizações
Challenges/313chn,Text,,destroy enemy obelisk,[i2auto]détruire l'obélisque de l'ennemi,[i2auto]уничтожить вражескую обелиск,[i2auto]zerstöre feindliche Obelisken,[i2auto]적의 오벨리스크를 파괴,[i2auto]摧毁敌人的方尖碑,[i2auto]menghancurkan musuh obelisk,[i2auto]distruggere il nemico obelisco,[i2auto]敵のオベリスクを破壊します,[i2auto]از بین بردن دشمن ستون هرمی شکل سنگی,[i2auto]distruge inamicul obelisc,[i2auto]ทำลายศัตรูอนุสาวรีย์,[i2auto]destruir obelisco enemigo,[i2auto]Düşman Dikilitaş yok,[i2auto]tiêu diệt kẻ thù obelisk,[i2auto]zniszczyć wroga obelisk,[i2auto]تدمير العدو المسلة,[i2auto]zničit nepřítele obelisk,[i2auto]destruir inimigo obelisco
Challenges/321chn,Text,,survive 8 minutes,[i2auto]survivre à 8 minutes,[i2auto]выжить 8 минут,[i2auto]überleben 8 Minuten,[i2auto]팔분 생존,[i2auto]生存8分钟,[i2auto]bertahan 8 menit,[i2auto]sopravvivere 8 minuti,[i2auto]8分を乗り切ります,[i2auto]زنده ماندن در دقیقه 8,[i2auto]supraviețui 8 minute,[i2auto]อยู่รอด 8 นาที,[i2auto]sobrevivir 8 minutos,[i2auto]8 dakika ayakta,[i2auto]tồn tại 8 phút,[i2auto]przetrwać 8 minut,[i2auto]البقاء على قيد الحياة 8 دقائق,[i2auto]přežít 8 minut,[i2auto]sobreviver 8 minutos
Challenges/321chd,Text,,"The enemy is launching a full attack, defend our base until more troops arrive!",[i2auto]"""L'ennemi lance une attaque, défendre notre base jusqu'à ce que plus de troupes arrivent!""",[i2auto]"""Враг начинает полную атаку, не защищать нашу базу до более войска прибывают!""",[i2auto]"""Der Feind ist die Einleitung einer vollen Angriff, Verteidigung unserer Basis, bis mehr Truppen ankommen!""",[i2auto]"""적 전체 공격을 출시, 더 많은 병력이 도착할 때까지 우리의 기지를 방어!""",[i2auto]敌人是发动全力攻击，保卫我们的基地，直到更多的部队到达！,[i2auto]"""Musuh meluncurkan serangan penuh, membela dasar kita sampai lebih banyak tentara tiba!""",[i2auto]"""Il nemico sta lanciando un attacco completo, difendere la nostra base fino a più truppe arrivano!""",[i2auto]敵が完全な攻撃を開始し、より多くの部隊が到着するまで、私たちのベースを守ります！,[i2auto]دشمن در حال راه اندازی یک حمله تمام، دفاع از پایگاه خود را تا سرباز بیشتر می رسند!,[i2auto]"""Inamicul lansează un atac complet, apăra baza noastra de până mai mult trupele ajunge!""",[i2auto]ศัตรูจะเปิดตัวการโจมตีเต็มรูปแบบปกป้องฐานของเราจนกว่าทหารจะมาถึง!,[i2auto]"""El enemigo está lanzando un ataque completo, defender nuestra base hasta que llegan más tropas!""",[i2auto]"""Düşman tam bir saldırı başlatıyor, daha fazla asker gelinceye kadar bizim temel savunmak!""",[i2auto]"""Kẻ thù đang tung ra một cuộc tấn công, bảo vệ cơ sở của chúng tôi cho đến khi thêm quân đến nơi!""",[i2auto]"""Wróg jest uruchomienie pełnego ataku, obrony naszej bazy, aż więcej wojska przybywają!""",[i2auto]العدو بشن هجوم كامل، والدفاع عن قاعدتنا حتى المزيد من القوات تصل!,[i2auto]"""Nepřítel zahajuje plný útok, bránit naši základnu až po více vojáků dorazí!""","O inimigo está lançando um ataque total, manter a nossa base até mais tropas chegarem!"
Challenges/322chn,Text,,bonus - destroy an enemy barrack,[i2auto]Bonus - détruire une caserne de l'ennemi,[i2auto]бонус - уничтожить вражеский барак,[i2auto]Bonus - zerstört ein feindliches Baracke,[i2auto]보너스 - 적 병영을 파괴,[i2auto]奖金 - 消灭一个敌人营房,[i2auto]bonus - menghancurkan barak musuh,[i2auto]bonus - distruggere un nemico caserma,[i2auto]ボーナス - 敵の兵舎を破壊します,[i2auto]جایزه - از بین بردن بازداشتگاه دشمن,[i2auto]bonus - distruge un inamic Barrack,[i2auto]โบนัส - ทำลายค่ายศัตรู,[i2auto]bono - destruir un cuartel enemigo,[i2auto]Bonus - bir düşman kışla yok,[i2auto]thưởng - tiêu diệt một doanh trại của địch,[i2auto]Bonus - zniszczyć baraku wroga,[i2auto]مكافأة - تدمير ثكنة العدو,[i2auto]bonus - zničit nepřítele baráku,[i2auto]bônus - destruir um quartel inimigo
Challenges/332chn,Text,,bonus - less tha 10 minutes,[i2auto]Bonus - tha moins 10 minutes,[i2auto]бонус - менее Tha 10 минут,[i2auto]Bonus - weniger tha 10 Minuten,[i2auto]보너스 - 적은 그쪽으로 십분,[i2auto]奖金 - 少塔10分钟,[i2auto]bonus - kurang tha 10 menit,[i2auto]bonus - meno tha 10 minuti,[i2auto]ボーナス - 以下THA 10分,[i2auto]جایزه - باشگاه کمتر از 10 دقیقه,[i2auto]bonus - mai puțin de 10 minute tha,[i2auto]โบนัส - tha น้อย 10 นาที,[i2auto]bono - escaso 10 minutos,[i2auto]Bonus - az tha 10 dakika,[i2auto]thưởng - ít tha 10 phút,[i2auto]Bonus - mniej tha 10 minut,[i2auto]مكافأة - أقل ثا 10 دقيقة,[i2auto]bonus - méně tha 10 minut,[i2auto]bônus - menos tha 10 minutos
Challenges/332chd,Text,,bonus - less tha 10 minutes,[i2auto]Bonus - tha moins 10 minutes,[i2auto]бонус - менее Tha 10 минут,[i2auto]Bonus - weniger tha 10 Minuten,[i2auto]보너스 - 적은 그쪽으로 십분,[i2auto]奖金 - 少塔10分钟,[i2auto]bonus - kurang tha 10 menit,[i2auto]bonus - meno tha 10 minuti,[i2auto]ボーナス - 以下THA 10分,[i2auto]جایزه - باشگاه کمتر از 10 دقیقه,[i2auto]bonus - mai puțin de 10 minute tha,[i2auto]โบนัส - tha น้อย 10 นาที,[i2auto]bono - escaso 10 minutos,[i2auto]Bonus - az tha 10 dakika,[i2auto]thưởng - ít tha 10 phút,[i2auto]Bonus - mniej tha 10 minut,[i2auto]مكافأة - أقل ثا 10 دقيقة,[i2auto]bonus - méně tha 10 minut,[i2auto]bônus - menos tha 10 minutos
Challenges/412chd,Text,,[i2auto]412chd,[i2auto]412chd,[i2auto]412chd,[i2auto]412chd,[i2auto]412chd,[i2auto]412chd,[i2auto]412chd,[i2auto]412chd,[i2auto]412chd,[i2auto]412chd,[i2auto]412chd,[i2auto]412chd,[i2auto]412chd,[i2auto]412chd,[i2auto]412chd,[i2auto]412chd,[i2auto]412chd,[i2auto]412chd,[i2auto]412chd
Challenges/421chn,Text,,protect obelisk for 5 minutes,[i2auto]protéger obélisque pendant 5 minutes,[i2auto]защиты обелиск в течение 5 минут,[i2auto]schützen Obelisken für 5 Minuten,[i2auto]5 분 동안 오벨리스크를 보호,[i2auto]保护方尖碑5分钟,[i2auto]melindungi obelisk selama 5 menit,[i2auto]proteggere obelisco per 5 minuti,[i2auto]5分間のオベリスクを保護,[i2auto]محافظت از ستون هرمی شکل سنگی به مدت 5 دقیقه,[i2auto]proteja obelisc timp de 5 minute,[i2auto]ปกป้องอนุสาวรีย์เป็นเวลา 5 นาที,[i2auto]proteger obelisco durante 5 minutos,[i2auto]5 dakika boyunca dikili taş koruma,[i2auto]bảo vệ obelisk trong 5 phút,[i2auto]ochrony obelisk na 5 minut,[i2auto]حماية المسلة لمدة 5 دقائق,[i2auto]chránit obelisk po dobu 5 minut,proteger obelisco por 5m
Challenges/421chd,Text,,protect obelisk for 5 minutes,[i2auto]protéger obélisque pendant 5 minutes,[i2auto]защиты обелиск в течение 5 минут,[i2auto]schützen Obelisken für 5 Minuten,[i2auto]5 분 동안 오벨리스크를 보호,[i2auto]保护方尖碑5分钟,[i2auto]melindungi obelisk selama 5 menit,[i2auto]proteggere obelisco per 5 minuti,[i2auto]5分間のオベリスクを保護,[i2auto]محافظت از ستون هرمی شکل سنگی به مدت 5 دقیقه,[i2auto]proteja obelisc timp de 5 minute,[i2auto]ปกป้องอนุสาวรีย์เป็นเวลา 5 นาที,[i2auto]proteger obelisco durante 5 minutos,[i2auto]5 dakika boyunca dikili taş koruma,[i2auto]bảo vệ obelisk trong 5 phút,[i2auto]ochrony obelisk na 5 minut,[i2auto]حماية المسلة لمدة 5 دقائق,[i2auto]chránit obelisk po dobu 5 minut,[i2auto]proteger obelisco durante 5 minutos
Challenges/422chn,Text,,Build 2 Scout towers,[i2auto]Construire 2 tours Scout,[i2auto]Построить 2 Scout башни,[i2auto]Baue 2 Scout Türme,[i2auto]2 스카우트 타워를 구축,[i2auto]建立2侦察员塔,[i2auto]Membangun 2 menara Pramuka,[i2auto]Costruire 2 torri Scout,[i2auto]2スカウトの塔を構築します,[i2auto]ساخت برج های دیده بانی 2,[i2auto]Construieste turnuri 2 Scout,[i2auto]สร้างลูกเสือ 2 อาคาร,[i2auto]Construir 2 torres Scouts,[i2auto]2 Scout kuleler inşa etmek,[i2auto]Xây dựng 2 tháp Scout,[i2auto]Budowanie 2 Scout wieże,[i2auto]بناء أبراج 2 الكشفية,[i2auto]Stavět 2 Scout věže,Construir 2 Torres Escolta
Challenges/422chd,Text,,"bonus, build two guard towers to 10 orichals",[i2auto]"""prime, la construction de deux tours de garde à 10 orichals""",[i2auto]"""бонус, построить два сторожевые башни на 10 orichals""",[i2auto]"""Bonus, Bau von zwei Wachtürmen bis 10 orichals""",[i2auto]"""보너스, 10 orichals 두 가드 타워를 구축""",[i2auto]奖金，建造两座岗楼到10 orichals,[i2auto]"""bonus, membangun dua menara jaga untuk 10 orichals""",[i2auto]"""bonus, la costruzione di due torri di guardia a 10 orichals""",[i2auto]ボーナス、10 orichalsには2つのガードタワーを構築,[i2auto]پاداش، ساخت دو برج نگهبانی 10 orichals,[i2auto]"""bonus, construirea a două turnuri de pază la 10 orichals""",[i2auto]โบนัสสร้างสองป้อมยามถึง 10 orichals,[i2auto]"""bono, la construcción de dos torres de vigilancia a 10 orichals""",[i2auto]"""Bonus, 10 orichals iki bekçi kuleleri inşa""",[i2auto]"""tiền thưởng, xây dựng hai tháp canh để 10 orichals""",[i2auto]"""premii, budowę dwóch wież strażniczych do 10 orichals""",[i2auto]المكافأة، بناء برجين الحرس إلى 10 orichals,[i2auto]"""bonus, stavět dvě strážní věže až 10 orichals""","bônus, construir 2 torres para 10 orichals"
Challenges/511chn,Text,,[i2auto]Keep the worker alive!,[i2auto]Gardez le travailleur vivant!,[i2auto]Держите работника жив!,Halten der arbeiter am leben!,[i2auto]살아 노동자를 계속!,[i2auto]保持工人还活着！,[i2auto]Jauhkan pekerja hidup!,Mantenere il lavoratore vivo!,[i2auto]生きている労働者をしてください！,[i2auto]زنده نگه داشتن کارگر!,[i2auto]Păstrați lucrătorul în viață!,[i2auto]ให้ผู้ปฏิบัติงานที่มีชีวิตอยู่!,[i2auto]Mantenga el trabajador viva!,[i2auto]Canlı işçi tutun!,[i2auto]Giữ cho công nhân còn sống!,[i2auto]Przechowywać pracownika żyje!,[i2auto]إبقاء العامل على قيد الحياة!,[i2auto]Udržujte pracovníka naživu!,Mantenha o trabalhador vivo!
Challenges/511chd,Text,,"take the worker to the safe area, watch for enemies",[i2auto]"""prendre le travailleur de la zone de sécurité, surveiller les ennemis""",[i2auto]"""принять работника на безопасный район, следить за врагами""",Halten der arbeiter am leben!,[i2auto]"""안전한 지역으로 작업자을, 원수에 대한보고""",[i2auto]拿工人的安全区，监视敌人,[i2auto]"""mengambil pekerja ke daerah yang aman, menonton untuk musuh""",Mantenere il lavoratore vivo!,[i2auto]安全な地域に労働者を取る、敵に注意,[i2auto]را کارگر به منطقه امن، برای دشمنان تماشای,[i2auto]"""ia lucrătorul în zona de siguranță, ceas pentru dușmani""",[i2auto]พาคนงานไปยังพื้นที่ที่ปลอดภัยดูศัตรู,[i2auto]"""tomar el trabajador a la zona segura, esté atento a los enemigos""",[i2auto]"""güvenli bölgeye işçi almak, düşman izlemek için""",[i2auto]"""đưa người lao động đến khu vực an toàn, xem cho kẻ thù""",[i2auto]"""przyjąć pracownika do bezpiecznej strefy, uważaj na wrogów""",[i2auto]أخذ العامل إلى منطقة آمنة، ومشاهدة لأعداء,[i2auto]"""přijmout pracovníka do bezpečné oblasti, pozor na nepřátele""",Mantenha o trabalhador vivo!
Challenges/512chd,Text,,Mine 10 Gold units,[i2auto]10 unités mines d'or,[i2auto]Шахтные 10 единиц золота,[i2auto]Mine 10 Gold-Einheiten,[i2auto]광산 10 골드 단위,[i2auto]矿10金单位,[i2auto]Tambang Emas 10 unit,[i2auto]Miniera di 10 unità d'oro,[i2auto]マイン10ゴールドユニット,[i2auto]معدن 10 واحد طلا,[i2auto]Mină de aur 10 unități,[i2auto]เหมืองทองคำ 10 หน่วย,[i2auto]Mine 10 unidades de oro,[i2auto]Mine 10 Altın birimleri,[i2auto]Mine 10 đơn vị vàng,[i2auto]10 jednostek kopalni złota,[i2auto]الألغام 10 وحدات الذهب,[i2auto]Mine 10 Gold jednotek,mineire 10 unidades de ouro
Challenges/521chn,Text,,build tribe center,[i2auto]construire un centre de tribu,[i2auto]построить племя центр,[i2auto]bauen Stamm Zentrum,[i2auto]부족 센터를 구축,[i2auto]建立部落中心,[i2auto]membangun pusat suku,[i2auto]costruire Centro tribù,[i2auto]部族センターを建設,[i2auto]ساخت مرکز قبیله,[i2auto]construi centrul trib,[i2auto]สร้างศูนย์เผ่า,[i2auto]construir un centro tribu,[i2auto]kabile merkezi inşa,[i2auto]xây dựng trung tâm bộ lạc,[i2auto]budowę centrum plemienia,[i2auto]بناء مركز قبيلة,[i2auto]vybudovat kmen centrum,[i2auto]construir o centro tribo
Challenges/521chd,Text,,Build a strong colony from scratch.,[i2auto]Construire une forte colonie à partir de zéro.,[i2auto]Построить сильную колонию с нуля.,[i2auto]Aufbau einer starken Kolonie von Grund auf neu.,[i2auto]처음부터 강력한 식민지를 구축 할 수 있습니다.,[i2auto]从头开始构建一个强大的殖民地。,[i2auto]Membangun koloni yang kuat dari awal.,[i2auto]Costruire una forte colonia da zero.,[i2auto]最初から強いコロニーを構築します。,[i2auto]ساخت یک کلنی قوی از ابتدا.,[i2auto]Construi o colonie puternică de la zero.,[i2auto]สร้างอาณานิคมที่แข็งแกร่งจากรอยขีดข่วน,[i2auto]Construir una fuerte colonia a partir de cero.,[i2auto]Sıfırdan güçlü bir koloni kurmak.,[i2auto]Xây dựng một thuộc địa mạnh mẽ từ đầu.,[i2auto]Zbudować silną kolonię od podstaw.,[i2auto]بناء مستعمرة قوية من نقطة الصفر.,[i2auto]Vybudovat silnou kolonii od nuly.,Construa uma forte colônia do zero.
Challenges/522chn,Text,,survive 5 minutes,[i2auto]survivre 5 minutes,[i2auto]выжить 5 минут,[i2auto]überleben 5 Minuten,[i2auto]5 분 생존,[i2auto]生存5分钟,[i2auto]bertahan 5 menit,[i2auto]sopravvivere 5 minuti,[i2auto]5分を乗り切ります,[i2auto]زنده ماندن 5 دقیقه,[i2auto]supraviețui 5 minute,[i2auto]อยู่รอดเป็นเวลา 5 นาที,[i2auto]sobrevivir 5 minutos,[i2auto]5 dakika hayatta,[i2auto]sống sót 5 phút,[i2auto]przeżyć 5 minut,[i2auto]البقاء على قيد الحياة بعد 5 دقائق,[i2auto]přežít 5 minut,[i2auto]sobreviver 5 minutos
Challenges/522chd,Text,,survive 5 minutes,[i2auto]survivre 5 minutes,[i2auto]выжить 5 минут,[i2auto]überleben 5 Minuten,[i2auto]5 분 생존,[i2auto]生存5分钟,[i2auto]bertahan 5 menit,[i2auto]sopravvivere 5 minuti,[i2auto]5分を乗り切ります,[i2auto]زنده ماندن 5 دقیقه,[i2auto]supraviețui 5 minute,[i2auto]อยู่รอดเป็นเวลา 5 นาที,[i2auto]sobrevivir 5 minutos,[i2auto]5 dakika hayatta,[i2auto]sống sót 5 phút,[i2auto]przeżyć 5 minut,[i2auto]البقاء على قيد الحياة بعد 5 دقائق,[i2auto]přežít 5 minut,"Limpe a área, destruindo cada unidade inimiga e estrutura"
Challenges/631chn,Text,,survive 12 minutes,[i2auto]survivre 12 minutes,[i2auto]выжить 12 минут,[i2auto]überleben 12 Minuten,[i2auto]12 분 생존,[i2auto]生存12分钟,[i2auto]bertahan 12 menit,[i2auto]sopravvivere 12 minuti,[i2auto]12分を乗り切ります,[i2auto]زنده ماندن در دقیقه 12,[i2auto]supraviețui 12 minute,[i2auto]อยู่รอดได้ 12 นาที,[i2auto]sobrevivir 12 minutos,[i2auto]12 dakika hayatta,[i2auto]tồn tại 12 phút,[i2auto]przeżyć 12 minut,[i2auto]البقاء على قيد الحياة 12 دقيقة,[i2auto]přežít 12 minut,[i2auto]sobreviver 12 minutos
Challenges/611chn,Text,,Find all enemy obelisks,[i2auto]Trouver tous les obélisques ennemies,[i2auto]Найти все вражеские обелиски,[i2auto]Suche alle feindlichen Obelisken,[i2auto]모든 적 오벨리스크 찾기,[i2auto]找到所有的敌人方尖碑,[i2auto]Cari semua obelisk musuh,[i2auto]Trova tutti i nemici obelischi,[i2auto]すべての敵のオベリスクを探します,[i2auto]مشاهده تمام هرم دشمن,[i2auto]Găsește toate obeliscuri inamice,[i2auto]ค้นหาอนุสาวรีย์ศัตรูทั้งหมด,[i2auto]Buscar todos los obeliscos enemigas,[i2auto]Tüm düşman dikilitaş bul,[i2auto]Tìm tất cả các bia tưởng niệm kẻ thù,[i2auto]Znajdź wszystkie obeliski wroga,[i2auto]البحث عن المسلات العدو,[i2auto]Najít všechny nepřátelské obelisky,[i2auto]Pesquisar os obeliscos inimigas
Challenges/611chd,Text,,scout the map and find all enemy obelisks,[i2auto]explorer la carte et de trouver tous les obélisques ennemies,[i2auto]разведать карту и найти все вражеские обелиски,[i2auto]scout die Karte und finden Sie alle feindlichen Obelisken,[i2auto]지도를 정찰하고 모든 적 오벨리스크를 찾을 수,[i2auto]侦察地图，发现所有敌人的方尖碑,[i2auto]pramuka peta dan menemukan semua obelisk musuh,[i2auto]esplorare la mappa e trovare tutti obelischi nemici,[i2auto]マップを偵察し、すべての敵のオベリスクを見つけます,[i2auto]دیده بانی بر روی نقشه و پیدا کردن تمام هرم دشمن,[i2auto]scout harta și pentru a găsi toate obeliscuri inamice,[i2auto]เสือป่าแผนที่และหาอนุสาวรีย์ศัตรูทั้งหมด,[i2auto]explorar el mapa y encontrar todos los obeliscos enemigas,[i2auto]haritayı keşif ve tüm düşman dikilitaş bulmak,[i2auto]trinh sát bản đồ và tìm thấy tất cả các bia tưởng niệm kẻ thù,[i2auto]scout mapę i znaleźć wszystkie obeliski wroga,[i2auto]الكشفية الخريطة وتجد كل المسلات العدو,[i2auto]prozkoumat mapu a najít všechny nepřátelské obelisky,[i2auto]explorar o mapa e encontrar todos os obeliscos inimigas
Challenges/612chn,Text,,finish the quest in 5 minutes,[i2auto]finir la quête en 5 minutes,[i2auto]завершить квест за 5 минут,[i2auto]Abschluss der Quest in 5 Minuten,[i2auto]5 분 퀘스트를 완료,[i2auto]在5分钟内完成任务,[i2auto]menyelesaikan quest dalam 5 menit,[i2auto]completare la quest in 5 minuti,[i2auto]5分でクエストを終えます,[i2auto]پایان تلاش در 5 دقیقه,[i2auto]termina căutarea în 5 minute,[i2auto]เสร็จสิ้นการแสวงหาใน 5 นาที,[i2auto]terminar la búsqueda en 5 minutos,[i2auto]5 dakika içinde görevi bitirmek,[i2auto]hoàn thành nhiệm vụ trong 5 phút,[i2auto]ukończyć zadanie w 5 minut,[i2auto]الانتهاء من السعي في 5 دقائق,[i2auto]dokončit úkol do 5 minut,[i2auto]terminar a missão em 5 minutos
Events/OutOfFunds,Text,,Insufficient Resources,[i2auto]Ressources insuffisantes,[i2auto]Недостаточные ресурсы,[i2auto]Unzureichende Ressourcen,[i2auto]부족한 리소스,[i2auto]资源不足,[i2auto]Sumber cukup,[i2auto]Risorse insufficienti,[i2auto]リソース不足,[i2auto]منابع ناکافی,[i2auto]Resurse insuficiente,[i2auto]ทรัพยากรไม่เพียงพอ,[i2auto]Recursos insuficientes,[i2auto]Yetersiz Kaynakları,[i2auto]Tài nguyên không đủ,[i2auto]Niewystarczające zasoby,[i2auto]الموارد غير كافية,[i2auto]Nedostatečné zdroje,[i2auto]Recursos insuficientes
Events/MaxEnqueued,Text,,recruitment queue is full,[i2auto]file d'attente de recrutement est pleine,[i2auto]Очередь набор полон,[i2auto]Rekrutierung Warteschlange voll ist,[i2auto]모집 큐가 가득,[i2auto]招聘队列已满,[i2auto]antrian perekrutan penuh,[i2auto]coda di reclutamento è pieno,[i2auto]募集キューがいっぱいです,[i2auto]صف استخدام کامل است,[i2auto]coadă de recrutare este plin,[i2auto]คิวการรับสมัครเต็ม,[i2auto]cola de reclutamiento está llena,[i2auto]işe kuyruğu dolu,[i2auto]tuyển dụng hàng đợi đã đầy,[i2auto]Kolejka rekrutacji jest pełna,[i2auto]قائمة انتظار التوظيف مليء,[i2auto]nábor fronta je plná,fila de recrutamento está cheia
Events/NeedHouses,Text,,build more houses,[i2auto]construire plus de maisons,[i2auto]строить больше домов,[i2auto]mehr Häuser zu bauen,[i2auto]더 많은 주택을 건설,[i2auto]建造更多的房子,[i2auto]membangun lebih banyak rumah,[i2auto]costruire più case,[i2auto]より多くの家を建てます,[i2auto]ساخت خانه های بیشتر,[i2auto]construi mai multe case,[i2auto]สร้างบ้านมากขึ้น,[i2auto]construir más casas,[i2auto]Daha fazla evler inşa,[i2auto]xây dựng thêm nhà,[i2auto]budować więcej domów,[i2auto]بناء المزيد من المنازل,[i2auto]stavět více domů,[i2auto]construir mais casas
Events/MaxPopulation,Text,,max population reached,[i2auto]population max atteint,[i2auto]макс население достигло,[i2auto]max Bevölkerung erreicht,[i2auto]최대 인구에 도달,[i2auto]最大人口达到,[i2auto]populasi max mencapai,[i2auto]popolazione max raggiunto,[i2auto]最大の人口に到達,[i2auto]حداکثر جمعیت رسیده,[i2auto]Populația a ajuns la max,[i2auto]ประชากรสูงสุดถึง,[i2auto]alcanzó población max,[i2auto]max nüfus ulaştı,[i2auto]đạt tối đa số dân,[i2auto]max liczba ludności osiągnęła,[i2auto]بلغ عدد سكان ماكس,[i2auto]dosáhl max populace,[i2auto]população máximo atingido
Events/CreatedUnit,Text,,new unit {0},[i2auto]nouvelle unité {0},[i2auto]Новый блок {0},[i2auto]neue Einheit {0},[i2auto]새로운 단위 {0},[i2auto]新单位{0},[i2auto]Unit baru {0},[i2auto]nuova unità {0},[i2auto]新しいユニット{0},[i2auto]واحد جدید {0},[i2auto]nouă unitate de {0},[i2auto]หน่วยงานใหม่ {0},[i2auto]nueva unidad {0},[i2auto]Yeni birim {0},[i2auto]đơn vị mới {0},[i2auto]Nowa jednostka {0},[i2auto]الوحدة الجديدة {0},[i2auto]nová jednotka {0},[i2auto]nova unidade {0}
Events/BeingAttacked,Text,,we are under attack,[i2auto]nous sommes sous attaque,[i2auto]мы под атакой,[i2auto]Wir werden angegriffen,[i2auto]우리는 공격을 받고있다,[i2auto]我们受到攻击,[i2auto]kita diserang,[i2auto]siamo sotto attacco,[i2auto]我々は攻撃を受けています,[i2auto]ما تحت حمله قرار دارند,[i2auto]suntem sub atac,[i2auto]เราอยู่ภายใต้การโจมตี,[i2auto]estamos bajo ataque,[i2auto]saldırı altında,[i2auto]chúng tôi đang bị tấn công,[i2auto]jesteśmy pod ostrzałem,[i2auto]نحن لهجوم,[i2auto]Jsme pod útokem,[i2auto]estamos sob ataque
Events/ObjComplete,Text,,{0} Objective Completed,[i2auto]{0} objectif complété,[i2auto]{0} Цель Завершен,[i2auto]{0} Ziel Abgeschlossene,[i2auto]{0} 목표 완료,[i2auto]{0}目标完成,[i2auto]{0} Tujuan Selesai,[i2auto]{0} Obiettivo Completato,[i2auto]{0}客観完了,[i2auto]{0} هدف تکمیل,[i2auto]{0} Obiectiv Finalizat,[i2auto]{0} วัตถุประสงค์ที่เสร็จสมบูรณ์,[i2auto]{0} Objetivo Completado,[i2auto]{0} Hedef Tamamlandı,[i2auto]{0} Mục tiêu hoàn thành,[i2auto]{0} Cel Zakończony,[i2auto]{0} الهدف مكتمل,[i2auto]{0} Cíl Dokončeno,{0} Objetivo Concluído
Events/StandardMsg,Text,,[i2auto]StandardMsg,[i2auto]StandardMsg,[i2auto]StandardMsg,[i2auto]StandardMsg,[i2auto]StandardMsg,[i2auto]StandardMsg,[i2auto]StandardMsg,[i2auto]StandardMsg,[i2auto]StandardMsg,[i2auto]StandardMsg,[i2auto]StandardMsg,[i2auto]StandardMsg,[i2auto]StandardMsg,[i2auto]StandardMsg,[i2auto]StandardMsg,[i2auto]StandardMsg,[i2auto]StandardMsg,[i2auto]StandardMsg,[i2auto]StandardMsg
Events/BonusComplete,Text,,{0} rewarded!,[i2auto]{0} récompensés!,[i2auto]{0} вознаграждены!,[i2auto]{0} belohnt!,[i2auto]{0} 보상!,[i2auto]{0}奖励！,[i2auto]{0} dihargai!,[i2auto]{0} ricompensati!,[i2auto]{0}は報わ！,[i2auto]{0} پاداش!,[i2auto]{0} răsplătit!,[i2auto]{0} รางวัล!,[i2auto]{0} recompensado!,[i2auto]{0} ödüllendirdi!,[i2auto]{0} thưởng!,[i2auto]{0} nagrodzony!,[i2auto]{0} مكافأة!,[i2auto]{0} odměněn!,[i2auto]{0} recompensado!
